feature,importance,abs_importance,kind
follicle_no_r,0.2449821812286,0.2449821812286,tree_importance
follicle_no_l,0.1740330399594779,0.1740330399594779,tree_importance
skin_darkening_y_n,0.06930804773698065,0.06930804773698065,tree_importance
weight_gain_y_n,0.06499335939784927,0.06499335939784927,tree_importance
hair_growth_y_n,0.06493417469822449,0.06493417469822449,tree_importance
amh_ng_ml,0.045247105175840824,0.045247105175840824,tree_importance
cycle_length_days,0.027103693745639066,0.027103693745639066,tree_importance
bmi,0.02544709947720894,0.02544709947720894,tree_importance
cycle_r_i,0.022642756776835745,0.022642756776835745,tree_importance
cycle_irregular_flag,0.021724112126075716,0.021724112126075716,tree_importance
lh_miu_ml,0.021158845058023446,0.021158845058023446,tree_importance
fsh_lh,0.019544089580304985,0.019544089580304985,tree_importance
pimples_y_n,0.018538424131697744,0.018538424131697744,tree_importance
tsh_miu_l,0.017484000499078087,0.017484000499078087,tree_importance
vit_d3_ng_ml,0.017457408918896748,0.017457408918896748,tree_importance
endometrium_mm,0.017342998289185608,0.017342998289185608,tree_importance
age_yrs,0.01659002479085617,0.01659002479085617,tree_importance
avg_f_size_r_mm,0.016105725483580826,0.016105725483580826,tree_importance
avg_f_size_l_mm,0.015708417879065864,0.015708417879065864,tree_importance
fsh_miu_ml,0.015073368006854947,0.015073368006854947,tree_importance
rbs_mg_dl,0.014085583591125085,0.014085583591125085,tree_importance
prl_ng_ml,0.01405013859995713,0.01405013859995713,tree_importance
prg_ng_ml,0.013065450417862686,0.013065450417862686,tree_importance
hb_g_dl,0.011764058720844623,0.011764058720844623,tree_importance
hair_loss_y_n,0.006620509888845147,0.006620509888845147,tree_importance
bp_systolic_mmhg,0.0034485290017240333,0.0034485290017240333,tree_importance
bp_diastolic_mmhg,0.0015468568193643545,0.0015468568193643545,tree_importance
