feature,importance,abs_importance,kind
skin_darkening_y_n,0.18029428535192044,0.18029428535192044,tree_importance
hair_growth_y_n,0.15188219872283146,0.15188219872283146,tree_importance
weight_gain_y_n,0.13140593405322246,0.13140593405322246,tree_importance
bmi,0.09039313908972407,0.09039313908972407,tree_importance
cycle_length_days,0.08557951154404654,0.08557951154404654,tree_importance
age_yrs,0.08402797471433313,0.08402797471433313,tree_importance
rbs_mg_dl,0.06334007041650568,0.06334007041650568,tree_importance
pimples_y_n,0.05491396662984819,0.05491396662984819,tree_importance
cycle_irregular_flag,0.05241477732990442,0.05241477732990442,tree_importance
cycle_r_i,0.04962412154170263,0.04962412154170263,tree_importance
hair_loss_y_n,0.024212514035916902,0.024212514035916902,tree_importance
bp_systolic_mmhg,0.017252529807858838,0.017252529807858838,tree_importance
bp_diastolic_mmhg,0.014658976762185156,0.014658976762185156,tree_importance
