archive,sample
pcos_single_cell,Mc02-C
pcos_single_cell,Mc02-F
pcos_single_cell,Mc03-C
pcos_single_cell,Mc03-F
pcos_single_cell,Mc06-C
pcos_single_cell,Mc06-F
pcos_single_cell,Mc10-C
pcos_single_cell,Mc10-F
pcos_single_cell,Mc16-C
pcos_single_cell,Mc16-F
pcos_single_cell,Mc26-C
pcos_single_cell,Mc26-F
pcos_single_cell,Mc27-C
pcos_single_cell,Mc27-F
pcos_single_cell,Mc31-C
pcos_single_cell,Mc31-F
pcos_single_cell,Mc40-C
pcos_single_cell,Mc40-F
pcos_single_cell,Mc50-C
pcos_single_cell,Mc50-F
endometrium_single_cell,UA_Endo12269811_FX0022
endometrium_single_cell,UA_Endo12604667_FX1130
